
cw_f303_6000_CNN_run1, [16, 8, 8], [64, 64, 32], ['elu', 'elu', 'elu'], [0, 0, 0], [1, 1, 1], [2, 2, 2], [1024, 1024, 1024], ['elu', 'elu', 'elu'], [0.1, 0.1, 0.1], 1024, [35, 51, 52, 58, 67, 81, 84, 97, 102, 104, 109, 114, 119, 142, 148, 150, 164, 169, 170, 178, 181, 190, 214, 249]

cw_f303_6000_CNN_run1, [16, 8, 8], [64, 64, 32], ['elu', 'elu', 'elu'], [0, 0, 0], [1, 1, 1], [2, 2, 2], [1024, 1024, 512], ['elu', 'elu', 'elu'], [0.1, 0.1, 0.1], 1024, [35, 51, 52, 58, 67, 81, 84, 97, 102, 104, 109, 114, 119, 142, 148, 150, 164, 169, 170, 178, 181, 190, 214, 249]

cw_f303_6000_CNN_run1, [16, 8, 8], [64, 64, 32], ['elu', 'elu', 'elu'], [0, 0, 0], [1, 1, 1], [2, 2, 2], [1024, 1024, 512], ['elu', 'elu', 'elu'], [0.1, 0.1, 0.1], 1024, [35, 51, 52, 58, 67, 81, 84, 97, 102, 104, 109, 114, 119, 142, 148, 150, 164, 169, 170, 178, 181, 190, 214, 249]

cw_f415_6000_CNN_run1, [16, 8, 8], [64, 64, 32], ['elu', 'elu', 'elu'], [0, 0, 0], [1, 1, 1], [2, 2, 2], [1024, 1024, 512], ['elu', 'elu', 'elu'], [0.1, 0.1, 0.1], 1024, [35, 51, 52, 58, 67, 81, 84, 97, 102, 104, 109, 114, 119, 142, 148, 150, 164, 169, 170, 178, 181, 190, 214, 249]

cw_f415_6000_CNN_run1, [16, 8, 8], [64, 64, 32], ['elu', 'elu', 'elu'], [0, 0, 0], [1, 1, 1], [2, 2, 2], [1024, 1024, 512], ['elu', 'elu', 'elu'], [0.1, 0.1, 0.1], 1024, [35, 51, 52, 58, 67, 81, 84, 97, 102, 104, 109, 114, 119, 142, 148, 150, 164, 169, 170, 178, 181, 190, 214, 249]

cw_f415_6000_CNN_run1, [16, 8, 8], [64, 64, 32], ['elu', 'elu', 'elu'], [0, 0, 0], [1, 1, 1], [2, 2, 2], [1024, 1024, 512], ['elu', 'elu', 'elu'], [0.1, 0.1, 0.1], 1024, [35, 51, 52, 58, 67, 81, 84, 97, 102, 104, 109, 114, 119, 142, 148, 150, 164, 169, 170, 178, 181, 190, 214, 249]

cw_f415_6000_CNN_run1, [16, 8, 8], [64, 64, 32], ['elu', 'elu', 'elu'], [0, 0, 0], [1, 1, 1], [2, 2, 2], [1024, 1024, 512], ['elu', 'elu', 'elu'], [0.1, 0.1, 0.1], 1024, [35, 51, 52, 58, 67, 81, 84, 97, 102, 104, 109, 114, 119, 142, 148, 150, 164, 169, 170, 178, 181, 190, 214, 249]

cw_f415_6000_CNN_run1, [16, 8, 8], [64, 64, 32], ['elu', 'elu', 'elu'], [0, 0, 0], [1, 1, 1], [2, 2, 2], [1024, 1024, 512], ['elu', 'elu', 'elu'], [0.1, 0.1, 0.1], 1024, [35, 51, 52, 58, 67, 81, 84, 97, 102, 104, 109, 114, 119, 142, 148, 150, 164, 169, 170, 178, 181, 190, 214, 249]

cw_f415_6000_CNN_run1, [16, 8, 8], [64, 64, 32], ['elu', 'elu', 'elu'], [0, 0, 0], [1, 1, 1], [2, 2, 2], [1024, 1024, 512], ['elu', 'elu', 'elu'], [0.1, 0.1, 0.1], 1024, [35, 51, 52, 58, 67, 81, 84, 97, 102, 104, 109, 114, 119, 142, 148, 150, 164, 169, 170, 178, 181, 190, 214, 249]
